event_id,scenario_id,ts,channel,spend,impressions,source_stale
MKT_0000001,INC_002,2024-01-08T00:00:00+00:00,digital,4757.19,119289,True
MKT_0000002,INC_002,2024-01-08T00:00:00+00:00,social,3717.88,84197,True
MKT_0000003,INC_002,2024-01-08T00:00:00+00:00,email,1461.29,41554,True
MKT_0000004,INC_002,2024-01-09T00:00:00+00:00,digital,4858.3,120194,True
MKT_0000005,INC_002,2024-01-09T00:00:00+00:00,social,3687.77,79211,True
MKT_0000006,INC_002,2024-01-09T00:00:00+00:00,email,1677.94,36958,True
MKT_0000007,INC_002,2024-01-10T00:00:00+00:00,digital,4925.49,117081,True
MKT_0000008,INC_002,2024-01-10T00:00:00+00:00,social,3459.01,80176,True
MKT_0000009,INC_002,2024-01-10T00:00:00+00:00,email,1379.48,41358,True
MKT_0000010,INC_002,2024-01-11T00:00:00+00:00,digital,4691.23,122065,True
MKT_0000011,INC_002,2024-01-11T00:00:00+00:00,social,3671.37,77281,True
MKT_0000012,INC_002,2024-01-11T00:00:00+00:00,email,1584.42,40299,True
MKT_0000013,INC_002,2024-01-12T00:00:00+00:00,digital,4914.71,122946,True
MKT_0000014,INC_002,2024-01-12T00:00:00+00:00,social,3779.48,83301,True
MKT_0000015,INC_002,2024-01-12T00:00:00+00:00,email,1525.64,39608,True
MKT_0000016,INC_002,2024-01-13T00:00:00+00:00,digital,4855.79,108348,True
MKT_0000017,INC_002,2024-01-13T00:00:00+00:00,social,3515.1,69083,True
MKT_0000018,INC_002,2024-01-13T00:00:00+00:00,email,1447.78,34008,True
MKT_0000019,INC_002,2024-01-14T00:00:00+00:00,digital,4807.9,106969,True
MKT_0000020,INC_002,2024-01-14T00:00:00+00:00,social,3340.35,67669,True
MKT_0000021,INC_002,2024-01-14T00:00:00+00:00,email,1445.52,33970,True
MKT_0000022,INC_002,2024-01-15T00:00:00+00:00,digital,4742.31,108812,True
MKT_0000023,INC_002,2024-01-15T00:00:00+00:00,social,3825.95,70384,True
MKT_0000024,INC_002,2024-01-15T00:00:00+00:00,email,1526.46,34927,True
MKT_0000025,INC_002,2024-01-16T00:00:00+00:00,digital,5132.03,101368,True
MKT_0000026,INC_002,2024-01-16T00:00:00+00:00,social,3523.94,73864,True
MKT_0000027,INC_002,2024-01-16T00:00:00+00:00,email,1423.53,34858,True
