kpi_id,scenario_id,ts,value,sample_count,day_num,_note
premium_conversion,INC_003,2024-01-03T09:00:00+00:00,0.4047,1,1,Sparse history: only 12 days available. sample_count < 30 threshold triggers sparse_history guard.
premium_conversion,INC_003,2024-01-04T09:00:00+00:00,0.3979,1,2,Sparse history: only 12 days available. sample_count < 30 threshold triggers sparse_history guard.
premium_conversion,INC_003,2024-01-05T09:00:00+00:00,0.413,1,3,Sparse history: only 12 days available. sample_count < 30 threshold triggers sparse_history guard.
premium_conversion,INC_003,2024-01-06T09:00:00+00:00,0.4136,1,4,Sparse history: only 12 days available. sample_count < 30 threshold triggers sparse_history guard.
premium_conversion,INC_003,2024-01-07T09:00:00+00:00,0.4062,1,5,Sparse history: only 12 days available. sample_count < 30 threshold triggers sparse_history guard.
premium_conversion,INC_003,2024-01-08T09:00:00+00:00,0.4156,1,6,Sparse history: only 12 days available. sample_count < 30 threshold triggers sparse_history guard.
premium_conversion,INC_003,2024-01-09T09:00:00+00:00,0.4163,1,7,Sparse history: only 12 days available. sample_count < 30 threshold triggers sparse_history guard.
premium_conversion,INC_003,2024-01-10T09:00:00+00:00,0.3891,1,8,Sparse history: only 12 days available. sample_count < 30 threshold triggers sparse_history guard.
premium_conversion,INC_003,2024-01-11T09:00:00+00:00,0.4021,1,9,Sparse history: only 12 days available. sample_count < 30 threshold triggers sparse_history guard.
premium_conversion,INC_003,2024-01-12T09:00:00+00:00,0.4169,1,10,Sparse history: only 12 days available. sample_count < 30 threshold triggers sparse_history guard.
premium_conversion,INC_003,2024-01-13T09:00:00+00:00,0.4042,1,11,Sparse history: only 12 days available. sample_count < 30 threshold triggers sparse_history guard.
premium_conversion,INC_003,2024-01-14T09:00:00+00:00,0.4144,1,12,Sparse history: only 12 days available. sample_count < 30 threshold triggers sparse_history guard.
