event_id,scenario_id,ts,sku_id,store_id,in_stock,fill_rate
INV_0000001,INC_001,2024-01-08T06:00:00+00:00,SKU_0001,STORE_001,True,0.9308
INV_0000002,INC_001,2024-01-08T06:00:00+00:00,SKU_0001,STORE_002,True,0.9427
INV_0000003,INC_001,2024-01-08T06:00:00+00:00,SKU_0001,STORE_003,True,0.937
INV_0000004,INC_001,2024-01-08T06:00:00+00:00,SKU_0001,STORE_004,True,0.9506
INV_0000005,INC_001,2024-01-08T06:00:00+00:00,SKU_0001,STORE_005,True,0.9222
INV_0000006,INC_001,2024-01-08T06:00:00+00:00,SKU_0002,STORE_001,True,0.9396
INV_0000007,INC_001,2024-01-08T06:00:00+00:00,SKU_0002,STORE_002,True,0.9264
INV_0000008,INC_001,2024-01-08T06:00:00+00:00,SKU_0002,STORE_003,True,0.9201
INV_0000009,INC_001,2024-01-08T06:00:00+00:00,SKU_0002,STORE_004,True,0.9413
INV_0000010,INC_001,2024-01-08T06:00:00+00:00,SKU_0002,STORE_005,True,0.9352
INV_0000011,INC_001,2024-01-08T06:00:00+00:00,SKU_0003,STORE_001,True,0.932
INV_0000012,INC_001,2024-01-08T06:00:00+00:00,SKU_0003,STORE_002,True,0.9096
INV_0000013,INC_001,2024-01-08T06:00:00+00:00,SKU_0003,STORE_003,True,0.9691
INV_0000014,INC_001,2024-01-08T06:00:00+00:00,SKU_0003,STORE_004,True,0.9037
INV_0000015,INC_001,2024-01-08T06:00:00+00:00,SKU_0003,STORE_005,True,0.9323
INV_0000016,INC_001,2024-01-08T06:00:00+00:00,SKU_0004,STORE_001,True,0.9272
INV_0000017,INC_001,2024-01-08T06:00:00+00:00,SKU_0004,STORE_002,False,0.9326
INV_0000018,INC_001,2024-01-08T06:00:00+00:00,SKU_0004,STORE_003,True,0.9171
INV_0000019,INC_001,2024-01-08T06:00:00+00:00,SKU_0004,STORE_004,True,0.9553
INV_0000020,INC_001,2024-01-08T06:00:00+00:00,SKU_0004,STORE_005,False,0.977
