event_id,scenario_id,ts,channel,spend,impressions,source_stale
MKT_0000001,INC_001,2024-01-08T00:00:00+00:00,digital,4874.27,124384,True
MKT_0000002,INC_001,2024-01-08T00:00:00+00:00,social,3452.55,81752,True
MKT_0000003,INC_001,2024-01-08T00:00:00+00:00,email,1412.3,38284,True
MKT_0000004,INC_001,2024-01-09T00:00:00+00:00,digital,4994.18,118387,True
MKT_0000005,INC_001,2024-01-09T00:00:00+00:00,social,3515.41,81260,True
MKT_0000006,INC_001,2024-01-09T00:00:00+00:00,email,1523.71,39570,True
MKT_0000007,INC_001,2024-01-10T00:00:00+00:00,digital,4767.81,116209,True
MKT_0000008,INC_001,2024-01-10T00:00:00+00:00,social,3541.29,84123,True
MKT_0000009,INC_001,2024-01-10T00:00:00+00:00,email,1499.56,38569,True
MKT_0000010,INC_001,2024-01-11T00:00:00+00:00,digital,4956.39,122858,True
MKT_0000011,INC_001,2024-01-11T00:00:00+00:00,social,3533.77,76995,True
MKT_0000012,INC_001,2024-01-11T00:00:00+00:00,email,1500.85,40654,True
MKT_0000013,INC_001,2024-01-12T00:00:00+00:00,digital,5209.54,112798,True
MKT_0000014,INC_001,2024-01-12T00:00:00+00:00,social,3427.77,81214,True
MKT_0000015,INC_001,2024-01-12T00:00:00+00:00,email,1644.89,41409,True
MKT_0000016,INC_001,2024-01-13T00:00:00+00:00,digital,4724.74,109085,True
MKT_0000017,INC_001,2024-01-13T00:00:00+00:00,social,3423.6,70101,True
MKT_0000018,INC_001,2024-01-13T00:00:00+00:00,email,1475.11,35570,True
MKT_0000019,INC_001,2024-01-14T00:00:00+00:00,digital,5423.63,102071,True
MKT_0000020,INC_001,2024-01-14T00:00:00+00:00,social,3650.33,70584,True
MKT_0000021,INC_001,2024-01-14T00:00:00+00:00,email,1561.04,36220,True
MKT_0000022,INC_001,2024-01-15T00:00:00+00:00,digital,4973.11,108027,True
MKT_0000023,INC_001,2024-01-15T00:00:00+00:00,social,3714.96,67719,True
MKT_0000024,INC_001,2024-01-15T00:00:00+00:00,email,1597.63,35605,True
MKT_0000025,INC_001,2024-01-16T00:00:00+00:00,digital,5384.98,98165,True
MKT_0000026,INC_001,2024-01-16T00:00:00+00:00,social,3493.74,69239,True
MKT_0000027,INC_001,2024-01-16T00:00:00+00:00,email,1450.42,32884,True
