ticket_id,scenario_id,ts,store_id,device,message,category
TKT_0000001,INC_001,2024-01-08T00:30:47+00:00,STORE_003,desktop,Customer enquiry — general,general
TKT_0000002,INC_001,2024-01-08T00:50:29+00:00,STORE_004,desktop,Customer enquiry — general,general
TKT_0000003,INC_001,2024-01-08T00:49:18+00:00,STORE_001,ios,Customer enquiry — stock,stock
TKT_0000004,INC_001,2024-01-08T00:17:18+00:00,STORE_002,ios,Customer enquiry — returns,returns
TKT_0000005,INC_001,2024-01-08T00:54:07+00:00,STORE_003,ios,Customer enquiry — general,general
TKT_0000006,INC_001,2024-01-08T00:00:23+00:00,STORE_001,ios,Customer enquiry — general,general
TKT_0000007,INC_001,2024-01-08T01:54:08+00:00,STORE_005,ios,Customer enquiry — returns,returns
TKT_0000008,INC_001,2024-01-08T01:08:57+00:00,STORE_004,desktop,Customer enquiry — stock,stock
TKT_0000009,INC_001,2024-01-08T01:38:55+00:00,STORE_004,ios,Customer enquiry — returns,returns
TKT_0000010,INC_001,2024-01-08T01:14:50+00:00,STORE_005,desktop,Customer enquiry — stock,stock
TKT_0000011,INC_001,2024-01-08T01:37:48+00:00,STORE_001,android,Customer enquiry — general,general
TKT_0000012,INC_001,2024-01-08T01:10:11+00:00,STORE_001,android,Customer enquiry — general,general
TKT_0000013,INC_001,2024-01-08T01:25:37+00:00,STORE_002,desktop,Customer enquiry — general,general
TKT_0000014,INC_001,2024-01-08T01:35:30+00:00,STORE_003,desktop,Customer enquiry — general,general
TKT_0000015,INC_001,2024-01-08T01:33:40+00:00,STORE_004,ios,Customer enquiry — general,general
TKT_0000016,INC_001,2024-01-08T02:20:34+00:00,STORE_003,ios,Customer enquiry — returns,returns
TKT_0000017,INC_001,2024-01-08T02:57:52+00:00,STORE_003,android,Customer enquiry — returns,returns
TKT_0000018,INC_001,2024-01-08T02:43:46+00:00,STORE_001,ios,Customer enquiry — stock,stock
TKT_0000019,INC_001,2024-01-08T02:41:40+00:00,STORE_001,desktop,Customer enquiry — returns,returns
TKT_0000020,INC_001,2024-01-08T03:03:39+00:00,STORE_002,ios,Customer enquiry — returns,returns
